task,algorithm,core_code_files,key_functions,datasets,labels,evaluation,split,best_result,result_source,status
Task1 ECG R峰检测,经典 Pan-Tompkins(neurokit) + 自适应导数平方积分阈值检测,src/evaluation/task1_ecg_rpeak.py | src/preprocessing/ecg.py,run_task1 | detect_rpeaks_classic | detect_rpeaks_adaptive,"mitdb, nsrdb, nstdb",WFDB atr/qrs 注释中的参考R峰,Sensitivity/PPV/F1/定位误差,record-wise (每库前N条),"adaptive F1=0.9713, loc_err=7.40ms",outputs/metrics/best_metrics.json,stable
Task2 HR/HRV,R峰->RR间期->HRV统计(含离群RR清洗),src/evaluation/task2_hrv.py | src/features/hrv.py,run_task2 | rr_intervals_ms | hrv_features | remove_outlier_rr,"mitdb, nsrdb, afdb",无显式分类标签，统计型任务,mean HR/mean RR/SDNN/RMSSD/pNN50,record-wise aggregate,流程可稳定产出，指标区间合理,outputs/metrics/best_metrics.json,stable
Task3 AF筛查(主线),弱标签 + RR特征 + RandomForest(GroupKFold),src/evaluation/task3_af.py | src/models/af_baseline.py | src/features/af_features.py,run_task3 | build_af_samples | train_eval_af_baseline,"afdb, ltafdb, mitdb",旧版 weak label(symbol only),Precision/Recall/F1/Specificity/AUROC,GroupKFold(record/subject proxy),"F1=0.0000, AUROC=0.3792",outputs/metrics/best_metrics.json,needs work (主线未并回专项改进)
Task3 AF筛查(专项当前最优),30s窗+10s步长 + AF比例标签 + RR不规则特征 + XGBoost,专项脚本/报告产物（不在主线 run_pipeline 调用）,见 task3_B* 专项产物,"afdb, ltafdb(49/84), mitdb",AF ratio>=0.6; <=0.1 non-AF; 中间丢弃,Patient-wise test + AUROC/F1/CM,patient-wise split,"F1=0.7359, AUROC=0.9499, Recall=0.8472, Specificity=0.8965",outputs/tables/task3_baseline_model_compare.csv | outputs/reports/task3_B6_final_summary.md,provisional (专项有效，尚未并入主线best_metrics)
Task4 异常搏提示,RR偏离中位数阈值启发式 + 符号标签对比,src/evaluation/task4_arrhythmia.py,run_task4,mitdb,atr symbol 正常/异常二值映射,Precision/Recall/F1,record-wise,"F1=0.6582, Recall=0.8901",outputs/metrics/best_metrics.json,provisional
Task5 P波/QT流程,R峰SQI门控 + NeuroKit2 ecg_delineate(dwt),src/evaluation/task5_ecg_qt_pwave.py | src/preprocessing/ecg.py,run_task5 | rpeak_sqi,"qtdb, but_pdb",流程级成功率，无统一点级GT误差,delineation_success_rate + mean_sqi,record-wise,"success_rate=1.0000, mean_sqi=0.8618",outputs/metrics/best_metrics.json,provisional
Task6 PPG峰足/SQI/HR,PPG去趋势+带通+峰足检测 + 多因子SQI + 峰足HR自一致代理误差,src/evaluation/task6_ppg.py | src/preprocessing/ppg.py,run_task6 | detect_ppg_peaks | detect_ppg_foots | estimate_ppg_sqi,"but_ppg, ppg_dalia, bidmc (ppg_dalia当前缺失)",无统一HR真值时采用proxy误差,HR proxy MAE/SQI均值/峰足成功率,record-wise,"hr_proxy_mae=0.4352 bpm, sqi_mean=0.8378",outputs/metrics/best_metrics.json,stable(工程基线)
Task7 呼吸率估计,EDR(R幅调制) + PDR(PPG幅度调制) + Welch主频,src/evaluation/task7_resp.py | src/features/respiration.py,run_task7 | edr_from_rpeak_amplitude | pdr_from_ppg_amplitude | estimate_resp_rate_from_series,"bidmc, apnea_ecg",resp通道参考呼吸率,ECG-derived/PPG-derived MAE,record-wise,"ECG MAE=2.84 bpm, PPG MAE=4.70 bpm",outputs/metrics/best_metrics.json,stable(工程趋势)
Task8 ECG+PPG时序/PTT,生理约束配对：先R后峰、峰前足点、窗口约束 + MAD跳变剔除,src/evaluation/task8_ptt.py | src/features/ptt.py,run_task8 | pair_delays_ms_constrained | _derive_feet_before_peaks,ptt_ppg,无临床标签，时延统计任务,R->foot / R->peak 均值中位数方差 + rule validity,subject/scene统计,"R->foot=227.45 ms, R->peak=406.92 ms",outputs/metrics/best_metrics.json | outputs/reports/task8_A5_re_evaluation.md,stable(已修复并回主线)
Task9 回归门控,关键指标回退检测(task1_f1 + task6_sqi),src/evaluation/task9_regression.py | src/evaluation/regression_suite.py,run_task9 | compare_rounds,跨任务聚合,无,regression_flags,迭代轮次,regression_flags=[],outputs/metrics/best_metrics.json | outputs/metrics/iteration_round_logs.csv,stable
